ticker,date,open,high,low,close,adj close,volume
GOOG,2021-01-20,1831.46,1903.71,1825.53,1886.9,1886.9,2421041
GOOG,2021-01-19,1752.25,1809.28,1741.53,1790.86,1790.86,1584175
GOOG,2021-01-15,1738.19,1755.86,1721.55,1736.19,1736.19,1238949
GOOG,2021-01-14,1753.62,1775.01,1733.4,1740.18,1740.18,1071434
GOOG,2021-01-13,1738.58,1765.0,1738.01,1754.4,1754.4,1038770
GOOG,2021-01-12,1753.92,1778.04,1725.44,1746.55,1746.55,1269680
GOOG,2021-01-11,1786.07,1794.31,1760.52,1766.72,1766.72,1106088
GOOG,2021-01-08,1787.98,1809.84,1773.54,1807.21,1807.21,2000779
GOOG,2021-01-07,1740.06,1788.09,1737.05,1787.25,1787.25,2183600
GOOG,2021-01-06,1702.63,1746.89,1699.0,1735.29,1735.29,2569297
GOOG,2021-01-05,1725.0,1747.67,1718.02,1740.92,1740.92,901513
GOOG,2021-01-04,1757.54,1760.65,1707.85,1728.24,1728.24,1563181
GOOG,2020-12-31,1735.42,1758.93,1735.42,1751.88,1751.88,975939
GOOG,2020-12-30,1762.01,1765.09,1725.68,1739.52,1739.52,1293285
GOOG,2020-12-29,1787.79,1792.44,1756.09,1758.72,1758.72,1286642
GOOG,2020-12-28,1751.64,1790.73,1746.33,1776.09,1776.09,1350236
GOOG,2020-12-24,1735.0,1746.0,1729.11,1738.85,1738.85,340303
GOOG,2020-12-23,1728.11,1747.99,1725.69,1732.38,1732.38,904382
GOOG,2020-12-22,1734.43,1737.41,1712.57,1723.5,1723.5,865839
GOOG,2020-12-21,1713.51,1740.85,1699.0,1739.37,1739.37,1241870
GOOG,2020-12-18,1754.18,1755.0,1720.26,1731.01,1731.01,3640190
GOOG,2020-12-17,1768.51,1771.78,1738.79,1747.9,1747.9,1405740
GOOG,2020-12-16,1772.88,1773.0,1756.22,1763.0,1763.0,1261618
GOOG,2020-12-15,1764.42,1771.42,1749.95,1767.77,1767.77,1153893
GOOG,2020-12-14,1775.0,1797.39,1757.21,1760.06,1760.06,1360385
GOOG,2020-12-11,1763.06,1784.45,1760.33,1781.77,1781.77,1060500
GOOG,2020-12-10,1769.8,1780.93,1740.32,1775.33,1775.33,1139071
GOOG,2020-12-09,1812.01,1834.27,1767.81,1784.13,1784.13,1272188
GOOG,2020-12-08,1810.1,1821.9,1796.8,1818.55,1818.55,914505
GOOG,2020-12-07,1819.0,1832.21,1805.84,1819.48,1819.48,1028263
GOOG,2020-12-04,1824.52,1833.16,1816.99,1827.99,1827.99,1055657
GOOG,2020-12-03,1824.01,1847.2,1822.65,1826.77,1826.77,1153717
GOOG,2020-12-02,1798.1,1835.65,1789.47,1827.95,1827.95,1179809
GOOG,2020-12-01,1774.37,1824.83,1769.37,1798.1,1798.1,1665782
GOOG,2020-11-30,1781.18,1788.06,1755.01,1760.74,1760.74,1666429
